source,country,label,bias,factuality,questionable-source,conspiracy-pseudoscience,pro-science
21stcenturywire,USA,1,conspiracy-pseudoscience,2,0,1,0
369news,Unknown,1,conspiracy-pseudoscience,2,0,1,0
911truthorg,USA,1,conspiracy-pseudoscience,1,0,1,0
abcnews,USA,0,left-center,4,0,0,0
acnlatitudes,USA,1,conspiracy-pseudoscience,2,0,1,0
activistpost,Unknown,1,conspiracy-pseudoscience,1,0,1,0
adweek,USA,0,center,4,0,0,0
adwnews,,1,conspiracy-pseudoscience,1,0,1,0
ageofautism,USA,1,conspiracy-pseudoscience,1,0,1,0
airwars,,0,center,4,0,0,0
aljazeera,Qatar,2,left-center,2,0,0,0
allianceadvancedhealth,,1,conspiracy-pseudoscience,2,0,1,0
allianceforadvancedhealth,,1,conspiracy-pseudoscience,2,0,1,0
alliancefornaturalhealth,USA,1,conspiracy-pseudoscience,2,0,1,0
alternativemediatelevisionamtv,,1,conspiracy-pseudoscience,1,0,1,0
alternet,USA,2,left,2,0,0,0
althealthworks,USA,1,conspiracy-pseudoscience,1,0,1,0
americablog,USA,0,left,4,0,0,0
americandigitalnews,,1,conspiracy-pseudoscience,2,0,1,0
americanintelligencemedia,,1,conspiracy-pseudoscience,2,0,1,0
ancientcode,Unknown,1,conspiracy-pseudoscience,2,0,1,0
anonymous,Unknown,1,questionable-source,2,1,0,0
asiapacificresearch,,1,conspiracy-pseudoscience,2,0,1,0
australiannationalreview,,1,conspiracy-pseudoscience,1,0,1,0
autisminvestigated,USA,1,conspiracy-pseudoscience,1,0,1,0
awarenessact,Unknown,1,conspiracy-pseudoscience,1,0,1,0
bbc,UnitedKingdom,0,left-center,4,0,0,0
bearingarms,USA,2,right,2,0,0,0
beholdisrael,Israel,1,conspiracy-pseudoscience,2,0,1,0
bigleaguepolitics,USA,1,questionable-source,1,1,0,0
bipartisanreport,USA,1,questionable-source,2,1,0,0
birminghammail,UnitedKingdom,0,left-center,3,0,0,0
bongino,USA,1,questionable-source,2,1,0,0
breaking911,Unknown,1,questionable-source,0,1,0,0
breitbart,USA,1,questionable-source,2,1,0,0
brightside,Cyprus,1,conspiracy-pseudoscience,2,0,1,0
businessinsider,USA,0,left-center,4,0,0,0
buzzfeed,USA,2,left-center,2,0,0,0
campusreform,USA,2,right,2,0,0,0
cbsnews,USA,0,left-center,4,0,0,0
channel4newsuk,UnitedKingdom,0,left-center,4,0,0,0
charlotteobserver,USA,0,left-center,4,0,0,0
chicagosuntimes,USA,0,left-center,4,0,0,0
chicagotribune,USA,0,right-center,4,0,0,0
citizenfreepress,USA,2,right,2,0,0,0
clashdaily,USA,1,questionable-source,1,1,0,0
climatechangedispatch,USA,1,conspiracy-pseudoscience,1,0,1,0
climatedepot,USA,1,conspiracy-pseudoscience,2,0,1,0
climateetc,,1,conspiracy-pseudoscience,2,0,1,0
climatism,Australia,1,conspiracy-pseudoscience,1,0,1,0
cnbc,USA,0,left-center,3,0,0,0
cnet,USA,0,center,4,0,0,0
cnn,USA,2,left,2,0,0,0
collectiveevolution,USA,1,conspiracy-pseudoscience,1,0,1,0
committeeconstructivetomorrowcfactorg,USA,1,conspiracy-pseudoscience,1,0,1,0
consciouslifenews,USA,1,conspiracy-pseudoscience,2,0,1,0
conspiracydailyupdate,,1,conspiracy-pseudoscience,1,0,1,0
cosmicintelligenceagency,,1,conspiracy-pseudoscience,1,0,1,0
courthousenewsservice,USA,0,center,4,0,0,0
covertgeopolitics,USA,1,conspiracy-pseudoscience,2,0,1,0
crikey,Australia,0,left,4,0,0,0
crooksandliars,USA,0,left,3,0,0,0
csglobe,Unknown,1,conspiracy-pseudoscience,1,0,1,0
curiousmindmagazine,,1,conspiracy-pseudoscience,1,0,1,0
dailybeast,USA,0,left,3,0,0,0
dailybuzzlive,USA,1,questionable-source,0,1,0,0
dailycaller,USA,2,right,2,0,0,0
dailygrail,Australia,1,conspiracy-pseudoscience,2,0,1,0
dailyhealthpost,Canada,1,conspiracy-pseudoscience,1,0,1,0
dailyherald,USA,0,right-center,4,0,0,0
dailykos,USA,2,left,2,0,0,0
dailymail,UnitedKingdom,1,questionable-source,1,1,0,0
dailymirror,UnitedKingdom,2,left-center,2,0,0,0
dailyrecord,,0,center,4,0,0,0
dailysignal,USA,0,right,3,0,0,0
dailystormer,USA,1,questionable-source,0,1,0,0
davidicke,UnitedKingdom,1,conspiracy-pseudoscience,0,0,1,0
dcgazette,Unknown,1,questionable-source,1,1,0,0
democracy21,,0,left-center,4,0,0,0
democracynow,USA,0,left,4,0,0,0
denverpost,USA,0,left-center,4,0,0,0
digg,USA,0,left-center,3,0,0,0
digitaljournal,,0,center,4,0,0,0
discoveryinstitute,USA,1,conspiracy-pseudoscience,1,0,1,0
disobedientmedia,USA,1,conspiracy-pseudoscience,2,0,1,0
disrn,USA,2,right,2,0,0,0
doctorozcom,USA,1,conspiracy-pseudoscience,2,0,1,0
eluxemagazine,,1,conspiracy-pseudoscience,2,0,1,0
endthefed,USA,1,questionable-source,1,1,0,0
endtimeheadlines,,1,conspiracy-pseudoscience,1,0,1,0
environmentalworkinggroupewg,,1,conspiracy-pseudoscience,2,0,1,0
escapeallthesethings,,1,conspiracy-pseudoscience,1,0,1,0
evolutionnewsandviews,,1,conspiracy-pseudoscience,1,0,1,0
faithpanda,Kenya,1,conspiracy-pseudoscience,2,0,1,0
familysurvivalheadlines,,1,conspiracy-pseudoscience,1,0,1,0
fellowshipoftheminds,,1,conspiracy-pseudoscience,1,0,1,0
fivethirtyeight,USA,0,left-center,4,0,0,0
foodbabe,USA,1,conspiracy-pseudoscience,2,0,1,0
forbes,USA,-1,right-center,,0,0,0
foreignpolicy,USA,0,center,4,0,0,0
foreverconscious,Unknown,1,conspiracy-pseudoscience,1,0,1,0
fortunemagazine,USA,0,right-center,4,0,0,0
foxnews,USA,2,right,2,0,0,0
france24,France,0,center,4,0,0,0
freedomainradio,,1,conspiracy-pseudoscience,2,0,1,0
freedomdaily,,1,questionable-source,1,1,0,0
freedomoutpost,,1,questionable-source,,1,0,0
freethoughtproject,USA,1,conspiracy-pseudoscience,1,0,1,0
fusion,USA,0,left-center,4,0,0,0
geoengineeringwatch,USA,1,conspiracy-pseudoscience,1,0,1,0
getholistichealth,Unknown,1,conspiracy-pseudoscience,1,0,1,0
globalresearch,Canada,1,conspiracy-pseudoscience,1,0,1,0
greenmedinfo,USA,1,conspiracy-pseudoscience,1,0,1,0
greenpeace,Netherlands,1,conspiracy-pseudoscience,2,0,1,0
gulagbound,USA,1,conspiracy-pseudoscience,1,0,1,0
haarpnet,USA,1,conspiracy-pseudoscience,1,0,1,0
hangthebankers,Unknown,1,questionable-source,1,1,0,0
healingoracle,Unknown,1,conspiracy-pseudoscience,0,0,1,0
healthimpactnews,USA,1,conspiracy-pseudoscience,1,0,1,0
healthnutnews,USA,1,conspiracy-pseudoscience,0,0,1,0
healthsciencesinstitute,USA,1,conspiracy-pseudoscience,1,0,1,0
healthyfoodhouse,Macedonia,1,conspiracy-pseudoscience,1,0,1,0
healthyholisticliving,USA,1,conspiracy-pseudoscience,1,0,1,0
heraldsun,Australia,0,right-center,3,0,0,0
hotair,USA,0,right,3,0,0,0
huffingtonpost,USA,2,left,2,0,0,0
humansarefree,USA,1,conspiracy-pseudoscience,1,0,1,0
iceagenow,USA,1,conspiracy-pseudoscience,1,0,1,0
ihealthtube,USA,1,conspiracy-pseudoscience,1,0,1,0
iheartintelligence,Bulgaria,1,conspiracy-pseudoscience,2,0,1,0
illuminatiwatcher,USA,1,conspiracy-pseudoscience,1,0,1,0
independentsciencenews,USA,1,conspiracy-pseudoscience,2,0,1,0
inews,UnitedKingdom,0,left-center,4,0,0,0
infiniteunknown,Unknown,1,conspiracy-pseudoscience,1,0,1,0
infowars,USA,1,conspiracy-pseudoscience,0,0,1,0
inquisitr,USA,2,left-center,2,0,0,0
insidescience,USA,0,pro-science,4,0,0,1
intellihub,USA,1,conspiracy-pseudoscience,1,0,1,0
internationalbusinesstimes,USA,2,left-center,2,0,0,0
investmentwatchblog,USA,1,conspiracy-pseudoscience,2,0,1,0
investorsbusinessdaily,USA,2,right,2,0,0,0
iowaclimatescienceeducation,USA,1,conspiracy-pseudoscience,1,0,1,0
ipolitics,Canada,0,left-center,4,0,0,0
israelislamendtimes,,1,conspiracy-pseudoscience,2,0,1,0
jesusdaily,USA,1,conspiracy-pseudoscience,1,0,1,0
jesusissavior,,1,conspiracy-pseudoscience,1,0,1,0
junksciencecom,USA,1,conspiracy-pseudoscience,1,0,1,0
kyivpost,Ukraine,2,left-center,2,0,0,0
larouchepac,,1,conspiracy-pseudoscience,1,0,1,0
lawenforcementtoday,USA,2,right,2,0,0,0
learntheriskorg,USA,1,conspiracy-pseudoscience,0,0,1,0
lewrockwell,USA,1,questionable-source,2,1,0,0
lifespa,USA,1,conspiracy-pseudoscience,1,0,1,0
liveaction,USA,1,conspiracy-pseudoscience,2,0,1,0
livescience,USA,-1,pro-science,,0,0,1
livingwhole,,1,conspiracy-pseudoscience,2,0,1,0
londoneveningstandard,UnitedKingdom,0,right-center,4,0,0,0
mcclatchydc,USA,0,left-center,4,0,0,0
mediaroots,USA,1,conspiracy-pseudoscience,2,0,1,0
mercola,,1,conspiracy-pseudoscience,1,0,1,0
metrouk,UnitedKingdom,2,left-center,2,0,0,0
mintpressnews,USA,2,left-center,2,0,0,0
modernalternativemama,,1,conspiracy-pseudoscience,2,0,1,0
moscowtimes,Netherlands,0,left-center,4,0,0,0
motherjones,USA,0,left-center,4,0,0,0
msnbc,USA,2,left,2,0,0,0
nationalfile,USA,1,conspiracy-pseudoscience,1,0,1,0
nationalinterest,USA,0,right-center,4,0,0,0
nationalreview,USA,0,right,3,0,0,0
naturalawakeningsmagazine,USA,1,conspiracy-pseudoscience,2,0,1,0
naturalcures,UnitedKingdom,1,conspiracy-pseudoscience,2,0,1,0
naturalhealth365,,1,conspiracy-pseudoscience,2,0,1,0
naturallysavvy,USA,1,conspiracy-pseudoscience,2,0,1,0
naturalnews,USA,1,conspiracy-pseudoscience,0,0,1,0
naturalsociety,,1,conspiracy-pseudoscience,2,0,1,0
needtoknow,USA,1,conspiracy-pseudoscience,1,0,1,0
newamericannews,,1,conspiracy-pseudoscience,2,0,1,0
newrepublic,USA,0,left,4,0,0,0
newsbud,USA,1,conspiracy-pseudoscience,2,0,1,0
newsbusters,USA,2,right,2,0,0,0
newsinsideoutcom,,1,conspiracy-pseudoscience,1,0,1,0
newsmax,USA,1,questionable-source,2,1,0,0
newspunch,USA,1,questionable-source,0,1,0,0
newswars,USA,1,questionable-source,1,1,0,0
newsweek,USA,0,left-center,3,0,0,0
newyorkdailynews,USA,0,left-center,4,0,0,0
newyorker,USA,0,left,4,0,0,0
newyorkpost,USA,2,right-center,2,0,0,0
newyorktimes,USA,0,left-center,4,0,0,0
noqreport,USA,2,right,2,0,0,0
notrickszone,Germany,1,conspiracy-pseudoscience,1,0,1,0
now8news,Unknown,1,questionable-source,0,1,0,0
nowtheendbegins,USA,1,conspiracy-pseudoscience,0,0,1,0
npr,USA,0,left-center,5,0,0,0
nutritionfactsorg,USA,1,conspiracy-pseudoscience,2,0,1,0
oann,USA,1,right,1,1,0,0
occupydemocrats,USA,1,questionable-source,1,1,0,0
occupyyourself,USA,1,conspiracy-pseudoscience,2,0,1,0
offguardian,Unknown,1,conspiracy-pseudoscience,2,0,1,0
organicfacts,India,1,conspiracy-pseudoscience,2,0,1,0
oyenews,UnitedKingdom,1,conspiracy-pseudoscience,0,0,1,0
palmerreport,USA,2,left,2,0,0,0
pbs,USA,0,left-center,4,0,0,0
personalliberty,USA,1,questionable-source,1,1,0,0
petapeoplefortheethicaltreatmentofanimals,,1,conspiracy-pseudoscience,2,0,1,0
pinknews,UnitedKingdom,0,left,4,0,0,0
politicalinsider,USA,1,questionable-source,1,1,0,0
politicalwire,USA,0,center,4,0,0,0
politico,USA,0,left-center,4,0,0,0
politicususa,USA,2,left,2,0,0,0
powerline,USA,2,right,2,0,0,0
prepareforchange,Unknown,1,conspiracy-pseudoscience,1,0,1,0
principiascientificinternational,UnitedKingdom,1,conspiracy-pseudoscience,1,0,1,0
prisonplanet,USA,1,conspiracy-pseudoscience,0,0,1,0
prntly,Unknown,1,questionable-source,1,1,0,0
radiofreeeuroperadioliberty,USA,-1,center,,0,0,0
rapturenewsnetwork,USA,1,conspiracy-pseudoscience,1,0,1,0
rawstory,USA,2,left,2,0,0,0
realclearpolitics,USA,0,right-center,3,0,0,0
realclimatescience,USA,1,conspiracy-pseudoscience,1,0,1,0
realfarmacy,Unknown,1,conspiracy-pseudoscience,1,0,1,0
realjewnews,,1,conspiracy-pseudoscience,1,0,1,0
redoubtnews,,1,conspiracy-pseudoscience,2,0,1,0
redstate,USA,1,questionable-source,2,1,0,0
returntonow,USA,1,conspiracy-pseudoscience,1,0,1,0
reuters,UnitedKingdom,0,center,5,0,0,0
revolutionradio,USA,1,conspiracy-pseudoscience,1,0,1,0
rightwingwatch,USA,0,left,4,0,0,0
rollcall,USA,0,center,5,0,0,0
rtnews,Russia,1,questionable-source,0,1,0,0
russiainsider,Russia,1,questionable-source,1,1,0,0
sanevax,,1,conspiracy-pseudoscience,1,0,1,0
scienceblogs,,0,pro-science,4,0,0,1
sciencevibe,USA,1,conspiracy-pseudoscience,2,0,1,0
scientificamerican,USA,0,pro-science,4,0,0,1
sgtreport,Unknown,1,conspiracy-pseudoscience,1,0,1,0
shadowproof,,0,left,4,0,0,0
shareblue,USA,2,left,2,0,0,0
shoebat,USA,1,conspiracy-pseudoscience,1,0,1,0
shtfplan,,1,questionable-source,2,1,0,0
signsofthetimessott,,1,conspiracy-pseudoscience,2,0,1,0
skeptiko,USA,1,conspiracy-pseudoscience,0,0,1,0
slate,USA,0,left,4,0,0,0
southfront,Russia,1,conspiracy-pseudoscience,,0,1,0
sputniknews,Russia,1,questionable-source,0,1,0,0
stillnessinthestorm,USA,1,conspiracy-pseudoscience,1,0,1,0
summitnews,USA,1,questionable-source,1,1,0,0
sustainablepulse,USA,1,conspiracy-pseudoscience,1,0,1,0
talkingpointsmemo,USA,0,left,3,0,0,0
tass,Russia,1,questionable-source,2,1,0,0
techxplore,UnitedKingdom,0,pro-science,4,0,0,1
theamericanconservative,USA,0,right-center,4,0,0,0
theantimedia,USA,1,conspiracy-pseudoscience,2,0,1,0
theatlantic,USA,0,left-center,4,0,0,0
thebl,USA,1,questionable-source,2,1,0,0
theblaze,USA,2,right,2,0,0,0
thebulwark,USA,0,right-center,4,0,0,0
thecollegefix,USA,2,right,2,0,0,0
theconservativetreehouse,USA,1,questionable-source,1,1,0,0
thecorbettreport,Japan,1,conspiracy-pseudoscience,1,0,1,0
thedailyconspiracy,,1,conspiracy-pseudoscience,1,0,1,0
thedailysheeple,Unknown,1,conspiracy-pseudoscience,1,0,1,0
thedcclothesline,USA,1,questionable-source,1,1,0,0
theduran,Cyprus,1,questionable-source,1,1,0,0
theepochtimes,USA,1,questionable-source,2,1,0,0
theeuropeanuniontimes,Unknown,1,conspiracy-pseudoscience,2,0,1,0
thefiscaltimes,USA,0,right-center,4,0,0,0
thegatewaypundit,USA,1,questionable-source,1,1,0,0
thegreanvillepostbiasrating,USA,1,conspiracy-pseudoscience,2,0,1,0
theguardian,UnitedKingdom,2,left-center,2,0,0,0
theheartysoul,Canada,1,conspiracy-pseudoscience,2,0,1,0
thehill,USA,0,center,3,0,0,0
theindependent,UnitedKingdom,2,left-center,2,0,0,0
theintercept,USA,0,left-center,3,0,0,0
theirishtimes,Ireland,0,left-center,4,0,0,0
thejakartapost,Indonesia,0,left-center,3,0,0,0
thejerusalempost,Israel,-1,right-center,,0,0,0
thelibertybeacon,USA,1,conspiracy-pseudoscience,1,0,1,0
thelibertydaily,USA,1,questionable-source,2,1,0,0
themillenniumreport,USA,1,questionable-source,1,1,0,0
themindunleashed,USA,1,conspiracy-pseudoscience,1,0,1,0
thenation,USA,0,left,4,0,0,0
theremnantnewspaper,,1,questionable-source,1,1,0,0
therightscoop,Canada,2,right,2,0,0,0
theroot,USA,0,left,3,0,0,0
thescientist,,0,pro-science,5,0,0,1
thesmokinggun,,0,right-center,4,0,0,0
thestream,USA,1,conspiracy-pseudoscience,2,0,1,0
thesun,UnitedKingdom,2,right,2,0,0,0
thetennesseestar,USA,2,right,2,0,0,0
thetrumpet,,1,conspiracy-pseudoscience,2,0,1,0
thetruthaboutcancer,USA,1,conspiracy-pseudoscience,1,0,1,0
thevaccinereaction,USA,1,conspiracy-pseudoscience,1,0,1,0
theverge,USA,0,left-center,4,0,0,0
thewashingtonstandard,,1,questionable-source,,1,0,0
theweekuk,UnitedKingdom,0,left-center,4,0,0,0
thewrap,USA,2,left-center,2,0,0,0
thinkingmomsrevolution,,1,conspiracy-pseudoscience,1,0,1,0
thinkprogress,USA,2,left,2,0,0,0
thoughtcatalog,USA,1,conspiracy-pseudoscience,2,0,1,0
thoughtcrimeradio,,1,conspiracy-pseudoscience,1,0,1,0
trueactivist,Germany,1,questionable-source,1,1,0,0
truepundit,USA,1,conspiracy-pseudoscience,1,0,1,0
trunews,USA,1,conspiracy-pseudoscience,1,0,1,0
truthout,USA,2,left,2,0,0,0
truththeory,UnitedKingdom,0,left,4,0,0,0
ukcolumn,,1,conspiracy-pseudoscience,2,0,1,0
upi,USA,0,center,4,0,0,0
usahitman,Unknown,1,conspiracy-pseudoscience,1,0,1,0
usatoday,USA,0,left-center,4,0,0,0
usawatchdogcom,USA,1,conspiracy-pseudoscience,1,0,1,0
vanityfair,USA,0,left,3,0,0,0
vaxxter,,1,conspiracy-pseudoscience,1,0,1,0
vdare,USA,1,questionable-source,1,1,0,0
veteranstoday,USA,1,conspiracy-pseudoscience,0,0,1,0
vigilantcitizen,USA,1,conspiracy-pseudoscience,1,0,1,0
viralnewsnetwork,,1,conspiracy-pseudoscience,1,0,1,0
vox,USA,0,left,3,0,0,0
wakingtimes,USA,1,conspiracy-pseudoscience,1,0,1,0
washingtonexaminer,USA,2,right,2,0,0,0
washingtonmonthly,USA,0,left-center,4,0,0,0
washingtonpost,USA,0,left-center,4,0,0,0
washingtontimes,USA,1,questionable-source,2,1,0,0
wattsupwiththat,USA,1,conspiracy-pseudoscience,1,0,1,0
weareanonymous,Unknown,1,conspiracy-pseudoscience,0,0,1,0
wearechange,USA,1,conspiracy-pseudoscience,2,0,1,0
welovetrump,USA,1,questionable-source,0,1,0,0
westernjournal,USA,1,questionable-source,2,1,0,0
wingsoverscotland,,0,left-center,4,0,0,0
worldnetdailywnd,USA,1,questionable-source,1,1,0,0
worldtruthtv,USA,1,conspiracy-pseudoscience,0,0,1,0
x22report,USA,1,conspiracy-pseudoscience,1,0,1,0
yahoonews,USA,0,left-center,4,0,0,0
zerohedge,Bulgaria,1,conspiracy-pseudoscience,1,0,1,0
usnews,USA,0,left-center,4,0,0,0
telegraph,,0,right,2,0,0,0
seattletimes,USA,0,left-center,4,0,0,0
conservativehome,USA,0,right-center,4,0,0,0
djhjmedia,USA,1,questionable-source,1,1,0,0
lifesitenews,Canada,1,questionable-source,2,1,0,0
sanjosemercurynews,USA,0,left-center,4,0,0,0
nationalobserver,Canada,0,left-center,4,0,0,0
gellerreport,USA,1,questionable-source,0,1,0,0
pravdareport,Russia,1,questionable-source,0,1,0,0
savethemales,Canada,1,conspiracy-pseudoscience,1,0,1,0
therealnews,USA,0,left-bias,4,0,0,0
trendingpolitics,USA,1,questionable-source,2,1,0,0
vaccinesrevealed,USA,1,conspiracy-pseudoscience,0,0,1,0
